update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
450,3293,576000,798.0195319508272,1200,0.015812499448657036,0.061241547026562655,0.0,0.2529999911785126,0.0625,192.6875,91.11580457719725,83.0,400.0,1.791985774040222,0.9051687836647033,0.42248347103595735,0.3717297092080116,0.590428352355957,nan,0.9018722772598267
460,3367,588800,786.2886789239051,1216,0.062281250953674316,0.16829364326217405,0.0,0.5950000286102295,0.125,191.0,72.95546586788409,90.0,300.0,1.8103430688381195,0.2084265373647213,0.07775553539395333,0.023434984544292093,0.07136960327625275,nan,0.30115604400634766
470,3447,601600,799.4938478526493,1232,0.14781250432133675,0.27287869382420915,0.0,0.8920000195503235,0.25,163.375,81.3256378702313,24.0,300.0,1.7950513124465943,0.5827685475349427,-0.004557287693023682,2.18301118016243,1.0689979791641235,nan,0.7955468893051147
480,3522,614400,802.4099489278526,1248,0.12450000084936619,0.28772187202587873,0.0,0.9909999966621399,0.1875,213.25,139.11708198492377,1.0,400.0,1.816450411081314,1.264706689119339,0.46225357949733736,0.8453805178403855,0.8667793273925781,nan,1.4442886114120483
490,3594,627200,800.2013236157287,1264,0.07718749903142452,0.21438377041338316,0.0,0.8019999861717224,0.125,180.3125,80.71997797168926,22.0,300.0,1.7963680922985077,0.268714164942503,0.15655707120895385,0.06400014068931341,0.1705934703350067,nan,0.39166662096977234
500,3659,640000,784.3263441867151,1280,0.0778125012293458,0.18012226001262163,0.0,0.5860000252723694,0.1875,205.625,82.57487132899452,92.0,400.0,1.7756588101387023,0.40947806239128115,0.15041694790124893,0.0956638477742672,0.18049228191375732,nan,1.3544204235076904
510,3744,652800,754.6498903878062,1424,0.24931250512599945,0.37665053592684933,0.0,0.9340000152587891,0.3125,137.5,102.72475358938566,19.0,400.0,1.7214881539344788,0.8264319330453873,-0.04407165870070458,3.988844007253647,1.9331352710723877,nan,0.4163803458213806
520,3821,665600,709.2008264638578,1442,0.3055781237781048,0.4020383573124002,0.0,0.9595000147819519,0.375,141.375,101.23665035450354,6.0,400.0,1.816975122690201,1.2660999119281768,-0.1854227578267455,6.465655636787415,3.029235363006592,nan,2.712611436843872
530,3896,678400,716.122638744774,1460,0.09124999865889549,0.2444257270901387,0.0,0.8379999995231628,0.125,203.75,105.43451759267455,18.0,400.0,1.8123686373233796,0.9894192427396774,0.3342743642628193,2.4517410665750505,1.5420211553573608,nan,1.3272901773452759
540,3970,691200,761.5790862371557,1477,0.23023437336087227,0.3487827853619538,0.0,0.8964999914169312,0.3125,166.25,121.3540790414562,23.0,400.0,1.7820190370082856,0.4582624673843384,-0.23592810034751893,4.074027156829834,1.783265471458435,nan,1.249611735343933
550,4040,704000,770.0030377254521,1494,0.11937499791383743,0.3159807841563985,0.0,0.9819999933242798,0.125,181.875,93.8122293467115,2.0,300.0,1.7626996457576751,0.3448321923613548,0.10297974236309529,0.5604773792438209,0.365591436624527,nan,0.299180269241333
560,4115,716800,707.8973557829869,1512,0.2932812524959445,0.37196261698536,0.0,0.9819999933242798,0.5,158.0625,124.17551527475133,2.0,400.0,1.7636564254760743,0.6208047211170197,-0.12316141072660684,2.1814272075891497,0.9499155879020691,nan,1.1180684566497803
570,4187,729600,711.6721915163389,1529,0.34971874579787254,0.3674218395798362,0.0,0.9819999933242798,0.5,123.25,90.40291754141566,2.0,300.0,1.732644611597061,1.0792217552661896,-0.34940365254878997,6.543926477432251,2.905233383178711,nan,2.7050082683563232
580,4263,742400,771.9933865815707,1547,0.23353124968707561,0.36356981982656567,0.0,0.9459999799728394,0.375,166.75,108.54002717891682,6.0,400.0,1.7259779155254364,0.25044250339269636,-0.34209350422024726,5.151780724525452,2.2165369987487793,nan,2.1068551540374756
590,4349,755200,743.0742351865337,1565,0.4115156251937151,0.39433884919247625,0.0,0.9580000042915344,0.5625,134.25,116.48256307276209,5.0,400.0,1.715066522359848,1.017994999885559,-0.40482606589794157,7.806287717819214,3.4811675548553467,nan,1.8491520881652832
600,4421,768000,738.5496075253877,1582,0.16037499904632568,0.29726463550132265,0.0,0.9639999866485596,0.25,192.25,109.4420508762514,4.0,400.0,1.7401258885860442,0.7675407469272614,-0.018857046216726302,4.821301615238189,2.374392509460449,nan,1.0971386432647705
610,4489,780800,722.8162630488262,1729,0.19815625250339508,0.358585364191107,0.0,0.9505000114440918,0.25,175.0,102.54389304098027,11.0,300.0,1.7632279753684998,0.7516663908958435,-0.1984988197684288,4.62526569366455,2.0965020656585693,nan,0.9346684813499451
620,4571,793600,682.8280763491227,1747,0.23478125035762787,0.35676546090224853,0.0,0.9010000228881836,0.3125,173.5,110.83208019341693,11.0,400.0,1.7927747070789337,0.8624089866876602,-0.10439936816692352,4.112840551137924,1.9340933561325073,nan,0.8098765015602112
630,4640,806400,710.1140212064313,1764,0.14453124813735485,0.2791362447299635,0.0,0.9459999799728394,0.25,157.125,82.17730450069533,12.0,300.0,1.8020773231983185,0.35776522308588027,0.040543878264725206,0.7921559289097786,0.41860103607177734,nan,1.1270458698272705
